                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.9966,                 0.8899,                 1.3117,                0.93778,                0.90623,                0.95131,                0.76352,                  1.349,                0.55975,                 1.8178,               0.005446,               0.005446,               0.005446
                     49,                0.99022,                0.88912,                 1.3082,                0.93788,                0.90669,                0.95145,                0.76399,                 1.3481,                0.55929,                 1.8167,               0.005347,               0.005347,               0.005347
                     50,                0.99047,                0.88791,                  1.306,                0.93747,                0.90705,                0.95119,                0.76399,                 1.3477,                0.55948,                 1.8156,               0.005248,               0.005248,               0.005248
                     51,                0.99025,                0.88728,                 1.3067,                0.93672,                0.90762,                0.95149,                0.76433,                 1.3471,                0.55846,                 1.8151,               0.005149,               0.005149,               0.005149
                     52,                0.98684,                0.87608,                 1.3025,                0.93696,                0.90786,                0.95189,                0.76449,                 1.3469,                0.55775,                 1.8143,                0.00505,                0.00505,                0.00505
                     53,                0.98413,                0.87538,                 1.3008,                0.93553,                0.90948,                0.95179,                0.76476,                 1.3462,                0.55725,                 1.8131,               0.004951,               0.004951,               0.004951
                     54,                0.98774,                0.88249,                 1.3038,                0.93471,                0.91035,                0.95205,                0.76483,                  1.346,                0.55718,                 1.8124,               0.004852,               0.004852,               0.004852
                     55,                0.98496,                0.87634,                 1.3019,                0.93519,                 0.9106,                 0.9523,                0.76492,                 1.3456,                0.55658,                 1.8106,               0.004753,               0.004753,               0.004753
                     56,                0.98168,                0.87176,                 1.2981,                0.93533,                0.91051,                0.95241,                0.76497,                  1.345,                0.55554,                 1.8087,               0.004654,               0.004654,               0.004654
                     57,                0.97947,                0.86453,                 1.2966,                0.93544,                0.91076,                0.95253,                0.76513,                  1.345,                0.55495,                 1.8086,               0.004555,               0.004555,               0.004555
                     58,                0.97661,                0.86272,                 1.2931,                0.93729,                0.90888,                0.95249,                0.76529,                 1.3446,                0.55427,                 1.8077,               0.004456,               0.004456,               0.004456
                     59,                0.98037,                0.86368,                 1.2968,                0.93659,                0.90959,                0.95244,                0.76549,                 1.3447,                0.55409,                 1.8076,               0.004357,               0.004357,               0.004357
                     60,                0.97869,                0.86341,                 1.2943,                 0.9371,                0.90959,                0.95227,                0.76533,                 1.3441,                0.55317,                 1.8075,               0.004258,               0.004258,               0.004258
                     61,                0.97608,                0.85876,                 1.2925,                 0.9361,                0.91021,                0.95214,                0.76526,                  1.343,                 0.5529,                 1.8065,               0.004159,               0.004159,               0.004159
                     62,                 0.9746,                0.85496,                 1.2906,                0.93596,                0.91141,                 0.9522,                0.76559,                 1.3427,                0.55335,                 1.8064,                0.00406,                0.00406,                0.00406
                     63,                0.97105,                0.85446,                 1.2883,                0.93444,                0.91341,                0.95237,                0.76592,                 1.3422,                0.55233,                 1.8062,               0.003961,               0.003961,               0.003961
                     64,                0.97293,                0.85119,                 1.2895,                 0.9326,                0.91539,                0.95259,                 0.7663,                 1.3417,                0.55094,                 1.8059,               0.003862,               0.003862,               0.003862
                     65,                0.97049,                0.84952,                 1.2877,                0.93399,                 0.9146,                0.95274,                0.76645,                 1.3415,                0.54972,                 1.8053,               0.003763,               0.003763,               0.003763
                     66,                0.97036,                0.85321,                 1.2887,                0.93361,                0.91548,                0.95275,                0.76653,                 1.3414,                 0.5492,                 1.8055,               0.003664,               0.003664,               0.003664
                     67,                0.96616,                0.84231,                 1.2833,                0.93303,                0.91617,                0.95281,                0.76671,                 1.3411,                0.54808,                  1.805,               0.003565,               0.003565,               0.003565
                     68,                0.96904,                0.84523,                  1.288,                0.93225,                 0.9166,                0.95282,                0.76665,                 1.3406,                0.54789,                 1.8052,               0.003466,               0.003466,               0.003466
                     69,                0.96883,                0.84511,                  1.286,                0.93301,                0.91638,                0.95309,                0.76721,                 1.3399,                0.54705,                 1.8042,               0.003367,               0.003367,               0.003367
                     70,                0.96403,                0.84078,                 1.2816,                0.93243,                0.91723,                0.95306,                0.76725,                 1.3394,                0.54646,                 1.8036,               0.003268,               0.003268,               0.003268
                     71,                0.96687,                0.84326,                 1.2856,                0.93265,                0.91753,                0.95325,                0.76753,                 1.3393,                0.54497,                 1.8035,               0.003169,               0.003169,               0.003169
