                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.7082,                 5.4166,                 3.2929,                      0,                      0,                      0,                      0,                 3.3445,                 5.3163,                 3.6374,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.7555,                 5.5349,                  3.293,                      0,                      0,                      0,                      0,                 3.3256,                 5.3315,                 3.6546,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 2.2263,                 5.1588,                  3.161,                      0,                      0,                      0,                      0,                 3.3443,                 5.3145,                 3.6221,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.6274,                 5.2462,                 2.9058,                      0,                      0,                      0,                      0,                 3.3374,                 5.3188,                 3.6161,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.5755,                 5.3845,                 3.0468,                      0,                      0,                      0,                      0,                  3.318,                 5.3248,                 3.6068,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                  2.398,                 5.2534,                 3.0402,                      0,                      0,                      0,                      0,                 3.3182,                 5.3052,                 3.6158,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 2.1667,                 4.9814,                 2.9276,                      0,                      0,                      0,                      0,                 3.3319,                 5.2897,                 3.6082,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.2495,                 5.3446,                 2.7614,                      0,                      0,                      0,                      0,                 3.3237,                 5.2933,                 3.6121,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.5728,                 5.2659,                 2.9746,                      0,                      0,                      0,                      0,                 3.3304,                 5.3051,                 3.6036,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 2.4693,                 5.4447,                 2.7452,                      0,                      0,                      0,                      0,                 3.3295,                 5.2964,                 3.6015,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.3189,                 5.2396,                 2.7582,                      0,                      0,                      0,                      0,                 3.3077,                  5.313,                 3.5995,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.4503,                 5.1066,                 2.9879,                      0,                      0,                      0,                      0,                 3.3402,                 5.3149,                 3.6056,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 2.7233,                  5.507,                 3.0219,                      0,                      0,                      0,                      0,                 3.3283,                 5.3219,                  3.591,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 2.6256,                  5.308,                 2.9274,                      0,                      0,                      0,                      0,                 3.3282,                 5.3186,                  3.605,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  2.758,                 5.2171,                  3.448,                      0,                      0,                      0,                      0,                 3.3411,                 5.2993,                 3.6281,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.9513,                 5.3993,                 3.2931,                      0,                      0,                      0,                      0,                  3.374,                 5.2753,                 3.6351,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                  2.694,                 5.2631,                 3.0989,                      0,                      0,                      0,                      0,                 3.3986,                 5.2661,                 3.6806,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 2.5018,                 5.1124,                 3.0551,                      0,                      0,                      0,                      0,                 3.3937,                 5.2657,                 3.6637,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.5137,                 5.1617,                 2.9771,                      0,                      0,                      0,                      0,                 3.3891,                 5.2699,                 3.6591,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                  2.382,                 5.0656,                 2.9736,                      0,                      0,                      0,                      0,                 3.3854,                 5.2761,                 3.6454,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 3.0292,                 5.3449,                 3.1792,                      0,                      0,                      0,                      0,                 3.3795,                 5.2807,                 3.6605,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.0303,                 4.9281,                 2.7093,                      0,                      0,                      0,                      0,                 3.3851,                 5.2754,                 3.6592,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 2.1692,                 5.0336,                 2.6295,                      0,                      0,                      0,                      0,                 3.3827,                 5.2812,                 3.6579,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.5409,                 5.1341,                  2.894,                      0,                      0,                      0,                      0,                 3.3863,                 5.2824,                 3.6641,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 2.7617,                 5.2829,                 2.8821,                      0,                      0,                      0,                      0,                 3.3779,                 5.2851,                 3.6537,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.9175,                 4.9309,                 2.6369,                      0,                      0,                      0,                      0,                 3.3771,                 5.2777,                 3.6552,             1.8365e-05,             1.8365e-05,             1.8365e-05
